codeCPV_2,codeCPV_FR
15252000,Crustacés préparés ou en conserve
15253000,Produits à base de mollusques
15300000,"Fruits, légumes et produits connexes"
15310000,Pommes de terre et produits à base de pomme de terre
15311000,Pommes de terre congelées
15311100,Chips et pommes frites
15311200,"Pommes de terre coupées en dés, en tranches et autres pommes de terre congelées"
15312000,Produits à base de pommes de terre
15312100,Purée de pommes de terre instantanée
15312200,Pommes de terre préfrites
15312300,Pommes chips
15312310,Pommes chips aromatisées
15312400,Produits apéritifs à base de pommes de terre
15312500,Croquettes de pommes de terre
15313000,Pommes de terre transformées
15320000,Jus de fruits et de légumes
15321000,Jus de fruits
15321100,Jus d'orange
15321200,Jus de pamplemousse
15321300,Jus de citron
15321400,Jus d'ananas
15321500,Jus de raisin
15321600,Jus de pomme
15321700,Mélanges de jus non concentrés
15321800,Jus concentrés
15322000,Jus de légumes
15322100,Jus de tomate
15330000,Fruits et légumes transformés
15331000,Légumes transformés
15331100,Légumes frais ou congelés
15331110,Légumes-racines transformés
15331120,Légumes-tubercules transformés
15331130,"Haricots, pois, poivrons, tomates et autres légumes"
15331131,Haricots transformés
15331132,Pois transformés
15331133,Pois cassés
15331134,Tomates transformées
15331135,Champignons transformés
15331136,Poivrons transformés
15331137,Germes de soja
15331138,Truffes
15331140,Légumes à feuilles et choux
15331142,Choux transformés
15331150,Légumes à cosse transformés
15331170,Légumes congelés
15331400,Légumes en conserve et/ou en boîte
15331410,Haricots à la sauce tomate
15331411,Haricots blancs à la sauce tomate
15331420,Tomates en conserve
15331423,Tomates en boîte
15331425,Purée de tomates
15331427,Concentré de tomates
15331428,Sauce tomate
15331430,Champignons en boîte
15331450,Olives transformées
15331460,Légumes en boîte
15331461,Choucroute en boîte
15331462,Pois en boîte
15331463,Haricots écossés en boîte
15331464,Haricots entiers en boîte
15331465,Asperges en boîte
15331466,Olives en boîte
15331470,Maïs doux
15331480,Légumes ayant subi un traitement de conservation temporaire
15331500,Légumes conservés dans le vinaigre
15332000,Fruits et fruits à coque transformés
15332100,Fruits transformés
15332140,Pommes transformées
15332150,Poires transformées
15332160,Bananes transformées
15332170,Rhubarbe
15332180,Melons
15332200,Confitures et marmelades; gelées de fruits; purées et pâtes de fruits ou de fruits à coque
15332230,Marmelades
15332231,Marmelade d'oranges
15332232,Marmelade de citrons
15332240,Gelées de fruits
15332250,Pâtes de fruits
15332260,Pâtes de fruits à coque
15332261,Beurre d'arachide
15332270,Purées de fruits
15332290,Confitures
15332291,Confiture d'abricots
15332292,Confiture de mûres
15332293,Confiture de cassis
15332294,Confiture de cerises
15332295,Confiture de framboises
15332296,Confiture de fraises
15332300,Fruits à coque transformés
15332310,Fruits à coque grillés ou salés
15332400,Conserves de fruits
15332410,Fruits secs
15332411,Raisins secs de Corinthe transformés
15332412,Raisins transformés
15332419,Sultanines
15333000,Sous-produits végétaux
15400000,Huiles et graisses animales ou végétales
15410000,Huiles et graisses animales ou végétales brutes
15411000,Huiles animales ou végétales
15411100,Huiles végétales
15411110,Huile d'olive
15411120,Huile de sésame
15411130,Huile d'arachide
15411140,Huile de coco
15411200,Huile de cuisson
15411210,Huile de friture
15412000,Graisses
15412100,Graisses animales
15412200,Graisses végétales
15413000,Résidus solides de graisses ou huiles végétales
15413100,Tourteaux
15420000,Huiles et graisses raffinées
15421000,Huiles raffinées
15422000,Graisses raffinées
15423000,Graisses ou huiles hydrogénées ou estérifiées
15424000,Cires végétales
15430000,Graisses comestibles
15431000,Margarine et préparations similaires
15431100,Margarine
15431110,Margarine liquide
15431200,Pâtes à tartiner allégées ou à faible teneur en matières grasses
15500000,Produits laitiers
15510000,Lait et crème fraîche
15511000,Lait
15511100,Lait pasteurisé
15511200,Lait stérilisé
15511210,Lait UHT
15511300,Lait écrémé
15511400,Lait demi-écrémé
15511500,Lait entier
15511600,Lait condensé
15511700,Lait en poudre
15512000,Crème fraîche
15512100,Crème fraîche liquide
15512200,Crème fraîche épaisse
15512300,Crème épaisse
15512900,Crème fraîche à fouetter
15530000,Beurre
15540000,Fromages
15541000,Fromage de table
15542000,Fromage frais
15542100,Cottage cheese
15542200,Fromage à pâte molle
15542300,Feta
15543000,"Fromage râpé, en poudre, bleu et autre fromage"
15543100,Fromage à pâte bleue
15543200,Cheddar
15543300,Fromage râpé
15543400,Parmesan
15544000,Fromage à pâte dure
15545000,Fromage à tartiner
15550000,Produits laitiers divers
15551000,Yaourt et autres produits laitiers fermentés
15551300,Yaourt
15551310,Yaourt nature
15551320,Yaourt aromatisé
15551500,Babeurre
15552000,Caséine
15553000,Lactose ou sirop de lactose
15554000,Petit-lait
15555000,Crème glacée et produits similaires
15555100,Crème glacée
15555200,Sorbet
15600000,"Produits de la minoterie, amidon et produits amylacés"
15610000,Produits de la minoterie
15611000,Riz décortiqué
15612000,Farine de céréales ou farine végétale et produits connexes
15612100,Farine de blé
15612110,Farine complète
15612120,Farine de boulangerie
15612130,Farine sans levure
15612150,Farine de pâtisserie
15612190,Farine fermentante
15612200,Farine de céréales
15612210,Farine de maïs
15612220,Farine de riz
15612300,Farines végétales
15612400,Mélanges utilisés pour la préparation de produits de boulangerie
15612410,Préparations pour gâteaux
15612420,Préparations à cuire au four
15612500,Produits de boulangerie
15613000,Produits à base de grains de céréales
15613100,Gruaux
15613300,Produits céréaliers
15613310,Céréales pour petit déjeuner
15613311,Flocons de maïs
15613313,Muesli ou équivalent
15613319,Blé soufflé
15613380,Flocons d'avoine
15614000,Riz transformé
15614100,Riz à grains longs
15614200,Riz usiné
15614300,Brisures de riz
15615000,Son
15620000,Amidons et produits amylacés
15621000,Huile de maïs
